
                            < M A T L A B (R) >
                  Copyright 1984-2017 The MathWorks, Inc.
                   R2017b (9.3.0.713579) 64-bit (glnxa64)
                             September 14, 2017

 
For online documentation, see http://www.mathworks.com/support
For product information, visit www.mathworks.com.
 
Reading -> /share/projects/razlighi_lab/users/hengda/RDIR_v2/Workspace_P00005982/region1020/brain-lh-020-MNI-VOX-ds.label
Reading -> /share/projects/razlighi_lab/users/hengda/RDIR_v2/Workspace_P00005982/region1020/brain-lh-020-VOX-localtrans.label
 Iteration   FunEvals     Step Length    Function Val        Opt Cond
Cubic Extrapolation
Cubic Extrapolation
         1          4     5.46321e-05     6.47299e+04     8.37858e+02
         2          5     1.00000e+00     4.06821e+04     4.19046e+02
         3          6     1.00000e+00     3.22803e+04     3.34568e+02
         4          7     1.00000e+00     2.58343e+04     3.66996e+02
         5          8     1.00000e+00     2.16871e+04     3.14259e+02
         6          9     1.00000e+00     1.87561e+04     2.35152e+02
         7         10     1.00000e+00     1.53635e+04     7.19511e+02
         8         11     1.00000e+00     1.26907e+04     4.99151e+02
         9         12     1.00000e+00     1.13874e+04     3.48997e+02
        10         13     1.00000e+00     1.05375e+04     2.14869e+02
        11         14     1.00000e+00     9.60212e+03     2.18679e+02
        12         15     1.00000e+00     8.58598e+03     3.86670e+02
        13         16     1.00000e+00     7.50493e+03     2.00674e+02
        14         17     1.00000e+00     7.07724e+03     1.21320e+02
        15         18     1.00000e+00     6.47542e+03     1.08340e+02
        16         19     1.00000e+00     6.20139e+03     3.46674e+02
        17         20     1.00000e+00     5.84521e+03     8.90790e+01
        18         21     1.00000e+00     5.58223e+03     1.02064e+02
        19         22     1.00000e+00     5.29312e+03     1.43804e+02
        20         23     1.00000e+00     5.21753e+03     2.83981e+02
        21         24     1.00000e+00     4.85270e+03     1.13764e+02
        22         25     1.00000e+00     4.72854e+03     7.68204e+01
        23         26     1.00000e+00     4.57321e+03     8.86926e+01
        24         27     1.00000e+00     4.33518e+03     1.06790e+02
        25         28     1.00000e+00     4.22767e+03     1.94265e+02
        26         29     1.00000e+00     4.04190e+03     6.24807e+01
        27         30     1.00000e+00     3.96197e+03     5.49200e+01
        28         31     1.00000e+00     3.85715e+03     5.92909e+01
        29         32     1.00000e+00     3.71293e+03     1.19260e+02
        30         33     1.00000e+00     3.59358e+03     5.79532e+01
        31         34     1.00000e+00     3.52522e+03     5.05984e+01
        32         35     1.00000e+00     3.41893e+03     4.35612e+01
        33         36     1.00000e+00     3.30865e+03     6.02296e+01
        34         37     1.00000e+00     3.20710e+03     6.09046e+01
        35         38     1.00000e+00     3.13353e+03     6.88109e+01
        36         39     1.00000e+00     3.08180e+03     3.73516e+01
        37         40     1.00000e+00     3.01690e+03     3.34017e+01
        38         41     1.00000e+00     2.92174e+03     6.59955e+01
        39         42     1.00000e+00     2.84895e+03     4.06241e+01
        40         43     1.00000e+00     2.78094e+03     4.80603e+01
        41         44     1.00000e+00     2.70488e+03     5.93926e+01
