
                            < M A T L A B (R) >
                  Copyright 1984-2017 The MathWorks, Inc.
                   R2017b (9.3.0.713579) 64-bit (glnxa64)
                             September 14, 2017

 
For online documentation, see http://www.mathworks.com/support
For product information, visit www.mathworks.com.
 
Reading -> /share/projects/razlighi_lab/users/hengda/RDIR_v2/Workspace_P00005982/region2028/brain-rh-028-MNI-VOX-ds.label
Reading -> /share/projects/razlighi_lab/users/hengda/RDIR_v2/Workspace_P00005982/region2028/brain-rh-028-VOX-localtrans.label
 Iteration   FunEvals     Step Length    Function Val        Opt Cond
Cubic Extrapolation
Cubic Extrapolation
         1          4     3.76909e-04     5.69555e+04     1.98582e+02
         2          5     1.00000e+00     2.60185e+04     1.09076e+02
         3          6     1.00000e+00     2.10732e+04     9.97295e+01
         4          7     1.00000e+00     1.70087e+04     7.07832e+01
         5          8     1.00000e+00     1.33915e+04     7.37014e+01
         6          9     1.00000e+00     1.11209e+04     1.73154e+02
         7         10     1.00000e+00     9.56849e+03     8.80695e+01
         8         11     1.00000e+00     8.74744e+03     5.77757e+01
         9         12     1.00000e+00     7.58314e+03     4.47244e+01
        10         13     1.00000e+00     7.17608e+03     1.18472e+02
        11         14     1.00000e+00     6.47012e+03     4.95905e+01
        12         15     1.00000e+00     6.10210e+03     3.33088e+01
        13         16     1.00000e+00     5.70537e+03     3.89243e+01
        14         17     1.00000e+00     5.11442e+03     5.68869e+01
Grad-Cubic Interpolation
        15         19     5.02510e-01     4.81270e+03     6.81469e+01
        16         20     1.00000e+00     4.54921e+03     2.87099e+01
        17         21     1.00000e+00     4.26364e+03     2.45331e+01
        18         22     1.00000e+00     4.01201e+03     2.83669e+01
        19         23     1.00000e+00     3.74342e+03     7.21000e+01
        20         24     1.00000e+00     3.51290e+03     2.41702e+01
        21         25     1.00000e+00     3.38271e+03     2.21862e+01
        22         26     1.00000e+00     3.22674e+03     2.41165e+01
        23         27     1.00000e+00     3.07308e+03     6.56618e+01
        24         28     1.00000e+00     2.93456e+03     1.28845e+01
        25         29     1.00000e+00     2.82423e+03     2.03288e+01
        26         30     1.00000e+00     2.69639e+03     2.99144e+01
        27         31     1.00000e+00     2.59144e+03     4.46164e+01
        28         32     1.00000e+00     2.45413e+03     1.92306e+01
        29         33     1.00000e+00     2.39135e+03     1.00976e+01
        30         34     1.00000e+00     2.30216e+03     1.54086e+01
        31         35     1.00000e+00     2.23934e+03     6.90571e+01
        32         36     1.00000e+00     2.15343e+03     1.50047e+01
        33         37     1.00000e+00     2.10728e+03     1.67005e+01
        34         38     1.00000e+00     2.06481e+03     2.45199e+01
        35         39     1.00000e+00     1.98600e+03     9.87660e+00
        36         40     1.00000e+00     1.92036e+03     2.29868e+01
        37         41     1.00000e+00     1.85942e+03     9.93429e+00
        38         42     1.00000e+00     1.81611e+03     7.43222e+00
        39         43     1.00000e+00     1.75396e+03     3.19106e+01
        40         44     1.00000e+00     1.70289e+03     5.05377e+01
        41         45     1.00000e+00     1.66899e+03     1.09808e+01
